"Nº de registo";"Data do registo";"Nome do Alojamento";"Imovél Posterior 1951";"Data Abertura Público";"Modalidade";"Nº Camas";"Nº Utentes";"Nº Quartos";"Nº Beliches";"Localização (Endereço)";"Localização (Código postal)";"Localização (Localidade)";"Localização (Freguesia)";"Localização (Concelho)";"Localização (Distrito)";"NUTT II";"Nome do Titular da Exploração";"Titular Qualidade";"Contribuinte";"Titular Tipo";"Titular País";"Contacto (Telefone)";"Contacto (Fax)";"Contacto (Telemovel)";"Estab.SAUDÁVEL&SEGURO"
"109409/AL";"2020-04-25";"Uma Formosa Apartments";"N";"2020-04-19";"Apartamento";"1";"2";"1";;"Rua Rua Formosa, 165 3º Esq. Trás";"4000-251";"Porto";"Cedofeita,Ildefonso,Sé,Miragaia,Nicolau,Vitória";"Porto";"Porto";"Norte";"Uma Formosa, Lda";"Arrendatário";"515860123";"Pessoa coletiva";"Portugal";;;"966323683";"Não"
"109408/AL";"2020-04-25";"Uma Formosa Apartments";"N";"2020-04-19";"Apartamento";"1";"2";"1";;"Rua Rua Formosa, 165 2º Dir. Trás";"4000-251";"Porto";"Cedofeita,Ildefonso,Sé,Miragaia,Nicolau,Vitória";"Porto";"Porto";"Norte";"Uma Formosa, Lda";"Arrendatário";"515860123";"Pessoa coletiva";"Portugal";;;"966323683";"Não"
"109407/AL";"2020-04-25";"Uma Formosa Apartments";"N";"2020-04-19";"Apartamento";"1";"2";"1";;"Rua Rua Formosa, 165 2º Esq. Trás";"4000-251";"Porto";"Cedofeita,Ildefonso,Sé,Miragaia,Nicolau,Vitória";"Porto";"Porto";"Norte";"Uma Formosa, Lda";"Arrendatário";"515860123";"Pessoa coletiva";"Portugal";;;"966323683";"Não"
"109406/AL";"2020-04-25";"Uma Formosa Apartments";"N";"2020-04-19";"Apartamento";"1";"2";"1";;"Rua Rua Formosa, 165 1º Dir. Trás";"4000-251";"Porto";"Cedofeita,Ildefonso,Sé,Miragaia,Nicolau,Vitória";"Porto";"Porto";"Norte";"Uma Formosa, Lda";"Arrendatário";"515860123";"Pessoa coletiva";"Portugal";;;"966323683";"Não"
"109405/AL";"2020-04-25";"Uma Formosa Apartments";"N";"2020-04-19";"Apartamento";"1";"2";"1";;"Rua Rua Formosa, 165 1º Esq. Trás";"4000-251";"Porto";"Cedofeita,Ildefonso,Sé,Miragaia,Nicolau,Vitória";"Porto";"Porto";"Norte";"Uma Formosa, Lda";"Arrendatário";"515860123";"Pessoa coletiva";"Portugal";;;"966323683";"Não"
"109404/AL";"2020-04-25";"AVCAMILO 136 3T";"N";"2020-04-15";"Apartamento";"2";"4";"1";;"Avenida Avenida Camilo, 136 3 T";"4300-095";"Porto";"Bonfim";"Porto";"Porto";"Norte";"Improveandnew, Lda";"Arrendatário";"514859865";"Pessoa coletiva";"Portugal";;;;"Não"
"109403/AL";"2020-04-25";"AVCAMILO 136 2 F";"N";"2020-04-15";"Apartamento";"2";"4";"1";;"Avenida Avenida Camilo, 136 2 F";"4300-095";"Porto";"Bonfim";"Porto";"Porto";"Norte";"Improveandnew, Lda";"Arrendatário";"514859865";"Pessoa coletiva";"Portugal";;;;"Não"
"109390/AL";"2020-04-25";"AVCAMILO 136 1 F";"N";"2020-04-15";"Apartamento";"2";"4";"1";;"Avenida Avenida Camilo, 136 1 F";"4300-095";"Porto";"Bonfim";"Porto";"Porto";"Norte";"Improveandnew, Lda";"Arrendatário";"514859865";"Pessoa coletiva";"Portugal";;;;"Não"
"109389/AL";"2020-04-25";"AVCAMILO 136 R/C T";"N";"2020-04-15";"Apartamento";"1";"2";"0";;"Avenida Avenida Camilo, 136 R/C T";"4300-095";"Porto";"Bonfim";"Porto";"Porto";"Norte";"Improveandnew, Lda";"Arrendatário";"514859865";"Pessoa coletiva";"Portugal";;;;"Não"
"109388/AL";"2020-04-25";"AVCAMILO 136 R/C F";"N";"2020-04-15";"Apartamento";"1";"2";"0";;"Avenida Avenida Camilo, 136 R/C F";"4300-095";"Porto";"Bonfim";"Porto";"Porto";"Norte";"Improveandnew, Lda";"Arrendatário";"514859865";"Pessoa coletiva";"Portugal";;;;"Não"
"109387/AL";"2020-04-25";"Sweet Home Clerigos Tower";"S";"2020-05-01";"Apartamento";"3";"6";"2";;"Rua Rua Trás, 117/121 2 n.a.";"4050-616";"Porto";"Cedofeita,Ildefonso,Sé,Miragaia,Nicolau,Vitória";"Porto";"Porto";"Norte";"Hqnature, Turismo da Natureza, Lda";"Comodatário";"515134813";"Pessoa coletiva";"Portugal";;;"918786661";"Não"
"109377/AL";"2020-04-24";"Faria Guimarães 202";"S";"2020-03-31";"Apartamento";"1";"2";"1";;"Rua Rua Fonseca Cardoso, 131 2º Tras Dto";"4000-234";"Porto";"Cedofeita,Ildefonso,Sé,Miragaia,Nicolau,Vitória";"Porto";"Porto";"Norte";"BRA.com Apartments Oporto, Lda";"Arrendatário";"513303430";"Pessoa coletiva";"Portugal";;;"967005191";"Sim"
"109376/AL";"2020-04-24";"Faria Guimarães 201";"S";"2020-03-31";"Apartamento";"1";"2";"1";;"Rua Rua Fonseca Cardoso, 131 2º Frente";"4000-234";"Porto";"Cedofeita,Ildefonso,Sé,Miragaia,Nicolau,Vitória";"Porto";"Porto";"Norte";"BRA.com Apartments Oporto, Lda";"Arrendatário";"513303430";"Pessoa coletiva";"Portugal";;;"967005191";"Sim"
"109375/AL";"2020-04-24";"Faria Guimarães 102";"S";"2020-03-31";"Apartamento";"1";"2";"1";;"Rua Rua Fonseca Cardoso, 131 1º Tras Dto";"4000-234";"Porto";"Cedofeita,Ildefonso,Sé,Miragaia,Nicolau,Vitória";"Porto";"Porto";"Norte";"BRA.com Apartments Oporto, Lda";"Arrendatário";"513303430";"Pessoa coletiva";"Portugal";;;"967005191";"Sim"
"109374/AL";"2020-04-24";"Faria Guimarães 101";"S";"2020-03-31";"Apartamento";"1";"2";"1";;"Rua Rua Fonseca Cardoso, 131 1º Frente";"4000-234";"Porto";"Cedofeita,Ildefonso,Sé,Miragaia,Nicolau,Vitória";"Porto";"Porto";"Norte";"BRA.com Apartments Oporto, Lda";"Arrendatário";"513303430";"Pessoa coletiva";"Portugal";;;"967005191";"Sim"
"109369/AL";"2020-04-24";"Faria Guimarães 302";"S";"2020-03-31";"Apartamento";"1";"1";"1";;"Rua Rua Fonseca Cardoso, 131 3º Tras";"4000-234";"Porto";"Cedofeita,Ildefonso,Sé,Miragaia,Nicolau,Vitória";"Porto";"Porto";"Norte";"BRA.com Apartments Oporto, Lda";"Arrendatário";"513303430";"Pessoa coletiva";"Portugal";;;"967005191";"Sim"
"109368/AL";"2020-04-24";"Faria Guimarães 301";"S";"2020-03-31";"Apartamento";"2";"4";"2";;"Rua Rua Fonseca Cardoso, 131 3º Frente";"4000-234";"Porto";"Cedofeita,Ildefonso,Sé,Miragaia,Nicolau,Vitória";"Porto";"Porto";"Norte";"BRA.com Apartments Oporto, Lda";"Arrendatário";"513303430";"Pessoa coletiva";"Portugal";;;"967005191";"Sim"
"109367/AL";"2020-04-24";"LUXURY APARTMENTS JÚLIO DINIS";"S";"2020-05-10";"Estabelecimento de hospedagem";"2";"4";"2";;"Rua Rua Júlio Dinis, 561 2 direito";"4050-325";"Porto";"Lordelo do Ouro e Massarelos";"Porto";"Porto";"Norte";;"Outro";;"Pessoa singular (empresário em nome individual)";"Portugal";;;;"Não"
"109366/AL";"2020-04-24";"Faria Guimarães 203";"S";"2020-03-31";"Apartamento";"1";"2";"1";;"Rua Rua Fonseca Cardoso, 131 2º Tras Esq";"4000-234";"Porto";"Cedofeita,Ildefonso,Sé,Miragaia,Nicolau,Vitória";"Porto";"Porto";"Norte";"BRA.com Apartments Oporto, Lda";"Arrendatário";"513303430";"Pessoa coletiva";"Portugal";;;"967005191";"Sim"
"109349/AL";"2020-04-23";"Faria Guimarães 002";"S";"2020-03-30";"Apartamento";"1";"2";"1";;"Rua Rua Fonseca Cardoso, 131 R/C Tras";"4000-234";"Porto";"Cedofeita,Ildefonso,Sé,Miragaia,Nicolau,Vitória";"Porto";"Porto";"Norte";"BRA.com Apartments Oporto, Lda";"Arrendatário";"513303430";"Pessoa coletiva";"Portugal";;;"967005191";"Sim"
"109348/AL";"2020-04-23";"Júlio Lourenço Pinto";"S";"2020-04-01";"Apartamento";"3";"4";"2";;"Rua Rua Júlio Lourenço Pinto, 50 4 8";"4150-004";"Porto";"Lordelo do Ouro e Massarelos";"Porto";"Porto";"Norte";;"Proprietário";;"Pessoa singular (empresário em nome individual)";"Portugal";;;;"Não"
"109278/AL";"2020-04-16";"Studio 31";"S";"2020-06-05";"Apartamento";"1";"2";"0";;"Rua Rua Gonçalo Cristóvão, 236 2º Esq Centro";"4000-265";"Porto";"Cedofeita,Ildefonso,Sé,Miragaia,Nicolau,Vitória";"Porto";"Porto";"Norte";;"Proprietário";;"Pessoa singular (empresário em nome individual)";"Portugal";;;;"Não"
"109248/AL";"2020-04-14";"Ana";"S";"2020-04-20";"Apartamento";"1";"2";"0";;"Rua Rua Almada, 515 1 frt";"4050-039";"Porto";"Cedofeita,Ildefonso,Sé,Miragaia,Nicolau,Vitória";"Porto";"Porto";"Norte";;"Proprietário";;"Pessoa singular (empresário em nome individual)";"Portugal";;;;"Não"
"109247/AL";"2020-04-14";"Morar Apartments";"N";"2020-03-31";"Apartamento";"1";"2";"1";;"Rua Rua Caldeireiros, 155 0 sul ";"4050-140";"Porto";"Cedofeita,Ildefonso,Sé,Miragaia,Nicolau,Vitória";"Porto";"Porto";"Norte";"Próxima Temporada, Unipessoal, Lda";"Proprietário";"515745294";"Pessoa coletiva";"Portugal";;;;"Não"
"109246/AL";"2020-04-14";"Morar Apartments";"N";"2020-03-31";"Apartamento";"1";"2";"1";;"Rua Rua Caldeireiros, 155 -1 e 0 sul ";"4050-140";"Porto";"Cedofeita,Ildefonso,Sé,Miragaia,Nicolau,Vitória";"Porto";"Porto";"Norte";"Próxima Temporada, Unipessoal, Lda.";"Proprietário";"515745294";"Pessoa coletiva";"Portugal";;;;"Não"
"109240/AL";"2020-04-10";"Casa do Manoel";"S";"2020-05-01";"Apartamento";"2";"4";"1";;"Rua Rua Constituição, 2105 5.º Andar Dt.º S22";"4250-170";"Porto";"Cedofeita,Ildefonso,Sé,Miragaia,Nicolau,Vitória";"Porto";"Porto";"Norte";;"Proprietário";;"Pessoa singular (empresário em nome individual)";"Portugal";;;;"Não"
"109239/AL";"2020-04-10";"Live in Santa Catarina";"S";"2020-04-01";"Apartamento";"1";"2";"0";;"Rua Rua Santa Catarina, 1044 R/C Frente";"4000-447";"Porto";"Bonfim";"Porto";"Porto";"Norte";;"Proprietário";;"Pessoa singular (empresário em nome individual)";"Portugal";;;;"Não"
"109200/AL";"2020-04-04";"Oporto Covelo 1D";"S";"2020-04-01";"Apartamento";"7";"10";"4";;"Rua Rua Covelo, 228 1 Direito";"4200-238";"Porto";"Paranhos";"Porto";"Porto";"Norte";"ERIVERTRAIL, LDA.";"Outro";"515479624";"Pessoa coletiva";"Portugal";"964625638";;"914620407";"Sim"
